"created_at","id","text","user.id","user.name","user.screen_name","user.location","user.followers_count","user.friends_count","user.created_at","user.time_zone","user.profile_background_color","user.profile_image_url","geo","coordinates"
"Wed Mar 29 21:35:57 +0000 2017",847200682021175300,"RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @HotTopic exclusive Mei Pop! https://t.co/B3WriXveHu",4194833613,"TwistedFate120","HyperFactions","",8,18,"Sun Nov 15 15:34:07 +0000 2015",,"C0DEED","http://pbs.twimg.com/profile_images/785973245568778240/0tUcEVml_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681907929100,"RT @pinjed: El típico tío que, en medio de una pelea, se saca un MAPACHE DEL BOLSILLO. https://t.co/Lmkhyrm5Ky",156409228,"XVII: ⭐️✨","Citotoxica","Land of time",339,254,"Wed Jun 16 21:47:04 +0000 2010","Mountain Time (US & Canada)","FFFFFF","http://pbs.twimg.com/profile_images/842857896320876544/50ddip57_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681840824300,"RT @GordonRamsay: No no please I've got 6 already https://t.co/vnwZmJX4IW",2173095278,"karen","kkarenml","",431,400,"Mon Nov 04 01:23:24 +0000 2013",,"C0DEED","http://pbs.twimg.com/profile_images/846238693706870784/o5UGGZTw_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681836630000,"RT @KSASociety: فيديو - عادل #الجبير: باسم #خادم_الحرمين يسر المملكة الموافقة على طلب دولة #الإمارات الشقيقة باستضافة #القمة_العربية القادم…",831848916446494700,"Ahmad Alosaimi","A_oh55","المملكة العربية السعودية",36,172,"Wed Feb 15 12:53:31 +0000 2017",,"F5F8FA","http://pbs.twimg.com/profile_images/831886906375991296/TTSx7z5h_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681811431400,"#DICTADURA es el peor #TERRORISMO https://t.co/Fg5PsdxScL",248887462,"Miren","NORTHSHEEN","",2005,1761,"Mon Feb 07 22:54:31 +0000 2011",,"000000","http://pbs.twimg.com/profile_images/775825129003593728/Koj_f7al_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681777860600,"RT @OGOK23: 이게 너무 갖고시픈거시다 https://t.co/ZIq3tnCzOE",761939824857059300,"아코","1412_cat","",19,212,"Sat Aug 06 14:59:45 +0000 2016",,"F5F8FA","http://pbs.twimg.com/profile_images/827010693517938689/BKK1olki_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681723355100,"sono troppe. https://t.co/jpR9Unwvvw",724324324849651700,"mia","Miagdrxs","Winx Club, Skipwalski",1019,1047,"Sun Apr 24 19:49:11 +0000 2016","Pacific Time (US & Canada)","F5F8FA","http://pbs.twimg.com/profile_images/845941279926206464/6S0R3Zsl_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681710772200,"RT @belrrando: Meu deus cheguei no banheiro pra fazer xixi e a privada ta com função stories https://t.co/cSIdQtXCpL",783028143930081300,"👶","dianacoutinho13","",303,654,"Mon Oct 03 19:37:12 +0000 2016",,"F5F8FA","http://pbs.twimg.com/profile_images/847147258349076481/Qm3IqXjB_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681660469200,"RT @TelevenTV: “Se denomina desaparecido a todo aquel que se le desconoce su localización”, @isoliett en @RostrosDLC - Esta noche (7pm) #Ro…",72949122,"Yamelis Galvis","ygalvis01","Caracas, Venezuela",673,1972,"Wed Sep 09 20:57:24 +0000 2009","Caracas","642D8B","http://pbs.twimg.com/profile_images/842474659861938177/fTJBt8Gp_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681635299300,"Je me replonge dans the legend of Zelda wind waker HD 😍😍 https://t.co/9vLPy3qzPZ",1013696658,"₪ ocilia ❾¾","rowina666","Vaucluse, Provence-Alpes-Côte ",107,370,"Sat Dec 15 18:25:28 +0000 2012","Ljubljana","C0DEED","http://pbs.twimg.com/profile_images/836601978075639809/Sl3GV6DT_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681626947600,"RT @Steebiie: Legend X obviously isn't eating the oreos she's been pushing, she looks great. https://t.co/b0RqjWgTxZ",2805902454,"Josie","DancinTableTop","New Jersey, USA",1331,2609,"Fri Sep 12 17:42:48 +0000 2014",,"000000","http://pbs.twimg.com/profile_images/846153337376526336/nyMioQ_X_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681459093500,"https://t.co/yAIqZ88NCh",1481409751,"Brackster","brackster39","",1677,1809,"Tue Jun 04 04:59:23 +0000 2013",,"C0DEED","http://pbs.twimg.com/profile_images/845720512705642496/OI514odC_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681429807100,"RT @BabyAnimalPics: baby lab 🐾 https://t.co/M81yMMKkLy",2979325323,"Lauren Pfaffenbach","PfaffLauren","",350,484,"Thu Jan 15 04:21:17 +0000 2015",,"C0DEED","http://pbs.twimg.com/profile_images/842230710593327104/f0QFp3Ur_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681391992800,"RT @mbrownmeme: como era // como é https://t.co/ADRShTNxuR",799442755,"Rafaela Reis","eu_nseilidar","Espírito Santo. Amém?",973,317,"Mon Sep 03 02:13:12 +0000 2012","Brasilia","ACDED6","http://pbs.twimg.com/profile_images/821823579285323776/AgKOMHM-_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681333112800,"GTA home values continue to rise. https://t.co/mCdLkmQsOD https://t.co/aBLNoDo8PL",541176416,"Vince Giaquinto","GiaquintoVince","Toronto,Ontario",11,13,"Fri Mar 30 22:31:41 +0000 2012",,"C0DEED","http://pbs.twimg.com/profile_images/712042841183277056/qnfp5Feq_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200681052328000,"@AmbedkarCaravan https://t.co/v9CpWK1Wf7",1078046054,"Halkat Swami","HalkatSwami","",309,429,"Thu Jan 10 23:59:02 +0000 2013","New Delhi","C0DEED","http://pbs.twimg.com/profile_images/823643710910910464/2aixpkqo_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200680951664600,"RT @ianaIexander: https://t.co/D9uGtbwci4",27241839,"giupreme™","giuslmao","long island, ny",717,394,"Sat Mar 28 15:00:36 +0000 2009","Eastern Time (US & Canada)","022330","http://pbs.twimg.com/profile_images/847165629811609600/JBqVg_GA_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200680788025300,"RT @jintherapper: SHE ACTUALLY ASKED DJDHDJ ""JUNGLOOK...... JUNGBOOK"" https://t.co/rVCsuxLynz",824055883,"m!🐶","rapmonsdimples","0% near stability",1063,895,"Fri Sep 14 21:47:32 +0000 2012","Central Time (US & Canada)","F5ABB5","http://pbs.twimg.com/profile_images/845754707910053888/JpaDWXQS_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200680771276800,"@omgAdamSaleh there are  only two vlogers in the world ,Adam Saleh and the Rest ❤❤❤ https://t.co/GuMhFt9EM3",807704890516639700,"Fafa Al-mahry","FafaMahry","Nairobi, Kenya",54,52,"Sat Dec 10 21:53:47 +0000 2016",,"F5F8FA","http://pbs.twimg.com/profile_images/807707468365266948/VCGzaeVe_normal.jpg",,
"Wed Mar 29 21:35:57 +0000 2017",847200680754290700,"RT @VITAMINO_TH: คนดีของอาบอจี ปีนี้ขอให้ได้คำตอบ อินซอจะมอบในสิ่งที่หวัง ขอแค่มิยังมีพลัง กระเป๋าตังค์เราคือของเธอ #HoneyRapperMinoDay htt…",156694145,"กบฏ。","ibgdxx88","ประเทศไทย",1076,694,"Thu Jun 17 16:55:41 +0000 2010","Bangkok","131516","http://pbs.twimg.com/profile_images/844113879755964417/NMBMkkNz_normal.jpg",,
