,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,30423,129623,Private room,,TS20,0,,2,1.0,7.0,58.0,7.0,1.297959,103.838828,2016-06-11 01:53:43.608174
1,50620,231938,Entire home/apt,,TS28,7,4.5,8,4.0,5.0,361.0,2.0,1.31538,103.838727,2016-06-11 05:26:45.678652
2,56334,266763,Private room,,MK13,20,5.0,1,1.0,1.0,52.0,6.0,1.442465,103.796674,2016-06-11 04:53:09.242427
3,71609,367042,Private room,,MK28,10,4.0,7,1.0,1.0,152.0,1.0,1.345407,103.957118,2016-06-11 04:33:42.348981
4,71896,367042,Private room,,MK28,19,4.0,3,1.0,,64.0,1.0,1.345675,103.959627,2016-06-11 05:56:00.103544
5,71903,367042,Private room,,MK28,20,4.5,3,1.0,,77.0,1.0,1.347017,103.961033,2016-06-11 05:04:55.254278
6,71907,367042,Private room,,MK27,17,4.0,8,1.0,1.0,155.0,1.0,1.343483,103.963372,2016-06-11 02:03:01.488849
7,71915,367042,Private room,,MK28,13,4.0,2,1.0,1.0,70.0,1.0,1.345796,103.961777,2016-06-11 04:10:04.705256
8,151547,729617,Private room,,TS21,15,5.0,1,1.0,1.0,92.0,7.0,1.301753,103.836095,2016-06-11 04:43:14.350749
9,158621,761425,Shared room,,MK24,0,,2,1.0,1.0,65.0,1.0,1.315074,103.884279,2016-06-11 01:49:01.508764
10,206782,1017645,Private room,,MK28,28,5.0,13,1.0,3.0,267.0,2.0,1.324402,103.913915,2016-06-11 05:09:35.639220
11,209194,1030128,Private room,,MK06,0,,2,1.0,1.0,77.0,3.0,1.342635,103.710932,2016-06-11 03:08:22.928651
12,241503,1017645,Private room,,MK28,137,5.0,4,1.0,1.0,107.0,2.0,1.323038,103.913631,2016-06-11 05:10:30.048136
13,241508,1017645,Private room,,MK28,163,5.0,7,1.0,1.0,107.0,2.0,1.324582,103.911627,2016-06-11 02:22:07.057498
14,241510,1017645,Private room,,MK28,177,5.0,2,1.0,1.0,76.0,2.0,1.324606,103.911907,2016-06-11 04:02:57.279323
15,252903,1328128,Entire home/apt,,MK25,10,5.0,2,2.0,2.0,141.0,3.0,1.309095,103.896062,2016-06-11 04:28:13.164848
